_id,Proposal Number:,Program Cycle:,Submitting Institution Name:,Project Status:,Start Date:,Lead Investigator:,Project Duration:,End Date:,SubmissionType:,Proposal Title:,Research Keyword 1,Research Keyword 2,Research Keyword 3,Research Keyword 4,Research Keyword 5,Research Type:,Personnel,Institution,URL
10,YSREP 1 - 002 - 5 - 001,YSREP,Qatar University,Award Tech. Completed,01 Apr 2012,Dr. Syed  Raza,2 Year(s),10 Dec 2014,New,Econometric Models for Revenue Management facing customers' cannibalization,Pricing, Customer behavior, Econometric models, Retail industry, Revenue management,Applied research,"[('PI', 'Dr. Syed  Raza', 'Qatar University'), ('Research Assistant', 'Dr. Najam Saqib', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2680&s=Y&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
11,UREP22-160-5-043,UREP,Qatar University,Award Pending - Vetted,,Dr. Elsayed Hassanein,1 Year(s),,New,Student teachers’ attitudes and beliefs about inclusive education: The role of teacher education programs,Inclusive education, Inclusion, Attitudes, Teacher education, Disabilities,Basic research,"[('Primary Research Mentor', 'Dr. Elsayed Hassanein', 'Qatar University'), ('Student', 'Ms. fatima alnaimi', 'Qatar University'), ('Student', 'Miss shaikha Al-Mansouri', 'Qatar University'), ('Student', 'Miss elaf aladwi', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29359&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
12,UREP22-143-3-024,UREP,Qatar University,Award Pending - Vetted,,Dr. Md Rahman,1 Year(s),,New,"The effect of Senna italiaca, Plantago ciliate and Nigella sativa (black seeds) on breast cancer cell proliferation, migration and invasion.",Breast cancer, Medicinal plants, Cell growth control, Migration and Invasion, Apoptosis,Basic research,"[('Primary Research Mentor', 'Dr. Md Rahman', 'Qatar University'), ('Student', 'Miss Meryem Ben Saad', 'Qatar University'), ('Student', 'Miss Arij Hassan', 'Qatar University'), ('Student', 'Miss Zaynab Elhussein', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29325&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
13,UREP22-120-5-030,UREP,Georgetown University School of Foreign Service in Qatar,Award Pending - Vetted,,Dr. Rogaia Abusharaf,1 Year(s),,New,Jidariya: Every Day is National Day in Qatar,Political, Language and Culture, Communication, Media analysis, Creative work,Basic research,"[('Primary Research Mentor', 'Dr. Rogaia Abusharaf', 'Georgetown University School of Foreign Service in Qatar'), ('Student', 'Mr. Mohammed Al-Jaberi', 'Georgetown University School of Foreign Service in Qatar'), ('Student', 'Miss Hissa Al Kubaisi', 'Georgetown University School of Foreign Service in Qatar'), ('Student', 'Miss Ghalya Al-Hail', 'Georgetown University School of Foreign Service in Qatar'), ('Student', 'Miss AlMaha Al-Neama', 'Georgetown University School of Foreign Service in Qatar'), ('Research Mentor', 'Dr. Suzi Mirgani', 'Georgetown University School of Foreign Service in Qatar'), ('Research Mentor', 'Dr. Yehia Mohamed', 'Georgetown University School of Foreign Service in Qatar')]","[('Georgetown University School of Foreign Service in Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29298&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
14,UREP22-118-1-018,UREP,Qatar University,Award Pending - Vetted,,Prof. Nabil Zouari,1 Year(s),,New,"Biodiversity of indigenous Qatari bacteria, responsible of minerals formation in Qatari sabkhas and soil stabilization by Microbially Induced Carbonate Precipitation",Biomineralization, Soil microbial communitiesies, Living mat microbiology, Microbial Biodiversity, Soil stabilization,Basic research,"[('Primary Research Mentor', 'Prof. Nabil Zouari', 'Qatar University'), ('Student', 'Mrs. Asmaa Hussain', 'Qatar University'), ('Student', 'Miss Ghaida Elhag', 'Qatar University'), ('Student', 'Miss Sally Abuel-Hassan', 'Qatar University'), ('Student', 'Ms. Shatha Al-Khanji', 'Qatar University'), ('Student', 'Miss Nouha Abdelaziz', 'Qatar University'), ('Student', 'Ms. Imane Hassan', 'Qatar University'), ('Research Mentor', 'Prof. Samir Jaoua', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29289&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
15,UREP22-140-3-023,UREP,Qatar University,Award Pending - Vetted,,Dr. Haissam Abou Saleh,1 Year(s),,New,Sildenafil-MIL-89 Conjugate as a Potential Drug Delivery Vehicle in Pulmonary Arterial Hypertension,Pulmonary Arterial Hypertension, Nanoparticle, Metal-organic frameworks, Drug delivery systems, Sildenafil,Basic research,"[('Primary Research Mentor', 'Dr. Haissam Abou Saleh', 'Qatar University'), ('Student', 'Miss Dana Alansari', 'Qatar University'), ('Student', 'Miss Rahaf Tawakul', 'Qatar University'), ('Student', 'Miss Amal Abusamhadaneh', 'Qatar University'), ('Research Mentor', 'Prof. Allal OUHTIT', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29322&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
16,UREP22-145-1-022,UREP,Qatar University,Award Pending - Vetted,,Dr. fahad aljamali,1 Year(s),,New,Preservation of fish biodiversity in Qatar: assessing the role of Marine Protected Areas (MPAs) and Artificial Reefs (ARs),Coastal habitats, Functional biodiversity, Environmental conservation, Underwater visual census, Baited remote underwater cameras,Basic research,"[('Primary Research Mentor', 'Dr. fahad aljamali', 'Qatar University'), ('Student', 'Mr. Ahmad Mujthaba Dheen Mohamed', 'Qatar University'), ('Student', 'Miss Aya Saleh', 'Qatar University'), ('Student', 'Miss Rouzan Shoshaa', 'Qatar University'), ('Student', 'Miss Sara Almallah', 'Qatar University'), ('Student', 'Mr. Mohammed Al-Dibis', 'Qatar University'), ('Student', 'Mr. Ahmed Ibraheem', 'Qatar University'), ('Research Mentor', 'Dr. Radhouan Ben-Hamadou', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29327&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
17,UREP22-110-4-003,UREP,Qatar University,Award Pending - Vetted,,Dr. Talaat Ahmed,1 Year(s),,Resubmission of [UREP21-048-4-001],Genetic Improvement of Tomato for abiotic Stress tolerance through Agrobacterium-mediated Transformation,Tomato, abiotec Stress, Genetic improvement, Agrobacterium, Gene Transformation,Applied research,"[('Primary Research Mentor', 'Dr. Talaat Ahmed', 'Qatar University'), ('Student', 'Miss Hadeel Mohamad', 'Qatar University'), ('Student', 'Miss Tasnim Mahmoud', 'Qatar University'), ('Student', 'Miss Alaa HAssanien', 'Qatar University'), ('Student', 'Miss Rahma Hassan', 'Qatar University'), ('Student', 'Miss Gawaher Elkhatib', 'Qatar University'), ('Student', 'Miss Amira Alwa', 'Qatar University'), ('Research Mentor', 'Mr. Atsushi Kato', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29264&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
18,UREP22-128-5-033,UREP,Qatar University,Award Pending - Vetted,,Prof. Abdrabo Soliman,1 Year(s),,New,Psychological Sequelae of the Qatar Blockade,Qatar, Blockade, Psychosocial factors, Truma, Posttraumatic stress disorder,Basic research,"[('Primary Research Mentor', 'Prof. Abdrabo Soliman', 'Qatar University'), ('Student', 'Mrs. Fatemah Alqahtnani', 'Qatar University'), ('Student', 'Miss Esraa Hussein', 'Qatar University'), ('Student', 'Miss Alanoud Althani', 'Qatar University'), ('Research Mentor', 'Prof. Ibrahim Alkaabi', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29306&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
19,UREP22-109-1-016,UREP,Qatar University,Award Pending - Vetted,,Dr. Talaat Ahmed,1 Year(s),,New,In-vitro plant tissue culture: An Alternative Source of Bioactive molecules in the rare medicinal plants in Qatar,Plant tissue culture, desert medicinal plants, active biomolecules, in-vitro culture, plant hormone,Applied research,"[('Primary Research Mentor', 'Dr. Talaat Ahmed', 'Qatar University'), ('Student', 'Miss Aisha Alhelabi', 'Qatar University'), ('Student', 'Miss Aziza Al-Aidaroos', 'Qatar University'), ('Student', 'Ms. Ghada Deeb', 'Qatar University'), ('Student', 'Miss Marwa Elbasha', 'Qatar University'), ('Student', 'Ms. Lina Layth', 'Qatar University'), ('Student', 'Ms. Aya Ali', 'Qatar University'), ('Research Mentor', 'Dr. Amjad Shraim', 'Qatar University'), ('Research Mentor', 'Dr. Mohammed Alsafran', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29262&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
20,UREP22-090-2-037,UREP,Texas A&M University at Qatar,Award Pending - Vetted,,Prof. Mansour Karkoub,1 Year(s),,New,"Design, Construction, and Testing of an Autonomous External Pipeline Inspection Robot",autonomous system, defect detection, variable size pipe, MFL technology, automatic control,Applied research,"[('Primary Research Mentor', 'Prof. Mansour Karkoub', 'Texas A&M University at Qatar'), ('Student', 'Mr. Rami El-Turk', 'Texas A&M University at Qatar'), ('Student', 'Mr. Dhafer Alhababi', 'Texas A&M University at Qatar'), ('Student', 'Mr. Dhafer Alhababi', 'Texas A&M University at Qatar'), ('Student', 'Mr. Hossam Sayed', 'Texas A&M University at Qatar'), ('Student', 'Mr. Youssef Mortada', 'Texas A&M University at Qatar'), ('Student', 'Miss Joana Mahfouz', 'Texas A&M University at Qatar'), ('Research Mentor', 'Dr. Mohamed Gharib', 'Texas A&M University at Qatar'), ('Research Mentor', 'Dr. Shehab Ahmed', 'Texas A&M University at Qatar')]","[('Texas A&M University at Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29183&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
21,UREP22-098-5-023,UREP,Qatar University,Award Pending - Vetted,,Dr. Shatha Obeidat,1 Year(s),,New,"The relationship Between ICT use (including after-work hour emails) and Employees` Work-Life Balance, stress, and occupational health: an exploratory study in the Higher Education sector in Qatar",ICT use, Work-life balance, Occupational health, Higher education, after-hour emails,Applied research,"[('Primary Research Mentor', 'Dr. Shatha Obeidat', 'Qatar University'), ('Student', 'Miss Sara Almarri', 'Qatar University'), ('Student', 'Miss Shaikha  Almarri', 'Qatar University'), ('Student', 'Ms. Reem Aljalham', 'Qatar University'), ('Student', 'Ms. Alaa Dalloul', 'Qatar University'), ('Student', 'Ms. Amna Al-Sheeb', 'Qatar University'), ('Student', 'Ms. Lamis  Khaled', 'Qatar University'), ('Research Mentor', 'Dr. Allam Abu Farha', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29202&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
22,UREP22-087-1-012,UREP,Qatar University,Award Pending - Vetted,,Prof. Shaheen Al-Muhtaseb,1 Year(s),,New,Developing nanocomposite membranes for desalination,Nanocomposite membranes, functionalized Carbon Nanotubes, Additives, Permeation, Desalination,Applied research,"[('Primary Research Mentor', 'Prof. Shaheen Al-Muhtaseb', 'Qatar University'), ('Student', 'Miss Janaa Alnaimi', 'Qatar University'), ('Student', 'Miss Alanood Alkhater', 'Qatar University'), ('Student', 'Miss Ayman Arif', 'Qatar University'), ('Student', 'Miss Namra Mir', 'Qatar University'), ('Student', 'Ms. Hafsa Ashraf', 'Qatar University'), ('Student', 'Ms. Fatma Aljanahi', 'Qatar University'), ('Research Mentor', 'Dr. Ahmed Ahmed', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29175&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
23,UREP22-076-1-011,UREP,Qatar University,Award Pending - Vetted,,Dr. Anton Popelka,1 Year(s),,New,Development of medical scaffolds with enhanced infection resistance using electrospinning/plasma technology,Scaffolds, Nanofibres, Plasma, Biocompatible materials and devices, Antibacterials,Applied research,"[('Primary Research Mentor', 'Dr. Anton Popelka', 'Qatar University'), ('Student', 'Mr. Mohamed Hussein', 'Qatar University'), ('Student', 'Mr. Abdelrahman Mahmoud', 'Qatar University'), ('Student', 'Mr. Mahmoud Abdelrasool', 'Qatar University'), ('Student', 'Mr. khalid ali', 'Qatar University'), ('Student', 'Mr. Mohammed Naser', 'Qatar University'), ('Research Mentor', 'Dr. Peter Kasak', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29151&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
24,UREP22-067-5-021,UREP,Northwestern University in Qatar,Award Pending - Vetted,,Dr. Jocelyn Mitchell,1 Year(s),,New,Hashtag Blockade: Exploring the Digital Landscape of the Gulf Crisis,Social media, Gulf politics, Content analysis, Discourse analysis, Networks,Applied research,"[('Primary Research Mentor', 'Dr. Jocelyn Mitchell', 'Northwestern University in Qatar'), ('Student', 'Ms. Noor Abunaba', 'Northwestern University in Qatar'), ('Student', 'Miss Lulwa Al-Khori', 'Northwestern University in Qatar'), ('Student', 'Miss Tarfa Al-Mansouri', 'Northwestern University in Qatar'), ('Student', 'Miss Haya Al-Mohannadi', 'Northwestern University in Qatar'), ('Student', 'Mrs. Mariam Al-Dhubhani', 'Northwestern University in Qatar'), ('Student', 'Miss Shaikha  Alderbesti', 'Northwestern University in Qatar'), ('Research Mentor', 'Prof. Abraham Abusharif', 'Northwestern University in Qatar'), ('Research Mentor', 'Prof. Banu Akdenizli', 'Northwestern University in Qatar')]","[('Northwestern University in Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29140&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
25,UREP22-063-2-023,UREP,Texas A&M University at Qatar,Award Pending - Vetted,,Dr. Mahmood Amani,1 Year(s),,New,Wellbore Cleaning Prior to Completion Utilizing Surfactant Combination,Wellbore Cleaning, Well completion, Surfactant, Oil and Gas wells, Drilling,Experimental Development,"[('Primary Research Mentor', 'Dr. Mahmood Amani', 'Texas A&M University at Qatar'), ('Student', 'Mr. Abdul Sattar AlKahala', 'Texas A&M University at Qatar'), ('Student', 'Mr. Soud Al-Hababi', 'Texas A&M University at Qatar'), ('Student', 'Mr. Abdulkarim Mohamed', 'Texas A&M University at Qatar')]","[('Texas A&M University at Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29136&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
26,UREP22-062-2-022,UREP,Qatar University,Award Pending - Vetted,,Dr. Khaled Shaaban,1 Year(s),,Resubmission of [UREP21-075-2-031],Driver Distraction among Young Drivers,distracted driving, young drivers, activites, reckless driving, driving behavior,Applied research,"[('Primary Research Mentor', 'Dr. Khaled Shaaban', 'Qatar University'), ('Student', 'Mr. Mahmoud Ibrahim', 'Qatar University'), ('Student', 'Mr. Ahmed AL-Ghatam', 'Qatar University'), ('Student', 'Mr. Moaz Karamalla', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29135&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
27,UREP22-059-1-010,UREP,Qatar University,Award Pending - Vetted,,Dr. Radhouan Ben-Hamadou,1 Year(s),,New,Life-history traits of reef-building corals in Qatar,Coral reproduction, Coral reef ecology, Reef building coral, Symbiotic zooxanthellae, Reef restoration,Basic research,"[('Primary Research Mentor', 'Dr. Radhouan Ben-Hamadou', 'Qatar University'), ('Student', 'Miss Sarah  Sultan', 'Qatar University'), ('Student', 'Miss Ramsha Yousuf', 'Qatar University'), ('Student', 'Miss Eman Janahi', 'Qatar University'), ('Student', 'Miss Sakeenah Adenan', 'Qatar University'), ('Student', 'Miss Noora Al-Jaber', 'Qatar University'), ('Student', 'Miss shaikha alsayegh', 'Qatar University'), ('Research Mentor', 'Dr. fahad aljamali', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29132&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
28,UREP22-045-2-016,UREP,Qatar University,Award Pending - Vetted,,Dr. Murat Kucukvar,1 Year(s),,New,Life Cycle Sustainability Assessment Model for Qatar LNG Production,Sustainability, Energy and the environment, Life cycle sustainability assessment, Energy and climate, LNG Production,Applied research,"[('Primary Research Mentor', 'Dr. Murat Kucukvar', 'Qatar University'), ('Student', 'Miss Almaha Al-Kaabi', 'Qatar University'), ('Student', 'Miss Alanoud Al-Daeiya', 'Qatar University'), ('Student', 'Miss samaa abdelhay', 'Qatar University'), ('Student', 'Miss Mayar Haggag', 'Qatar University'), ('Student', 'Miss Noora Al-kouri', 'Qatar University'), ('Student', 'Miss Noora Al-kouri', 'Qatar University'), ('Student', 'Miss Noora Al-kouri', 'Qatar University'), ('Student', 'Mrs. Ghada Dahab', 'Qatar University'), ('Research Mentor', 'Dr. Nuri Onat', 'Qatar University'), ('Research Mentor', 'Dr. Wael Alhajyaseen', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29117&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
29,UREP22-043-2-015,UREP,Qatar University,Award Pending - Vetted,,Prof. Serkan Kiranyaz,1 Year(s),,Resubmission of [UREP21-073-2-030],An Intelligent and Low Cost Eye-Tracking System for Motorized Wheelchair Control,Pupil based Eye tracking, Innovative Machine Learning Algorithm, Motorized Wheelchair Control, Spinal Cord Injury, Quadriplegia,Applied research,"[('Primary Research Mentor', 'Prof. Serkan Kiranyaz', 'Qatar University'), ('Student', 'Mr. Mohammed Albardawil', 'Qatar University'), ('Student', 'Mr. khaled ahmad', 'Qatar University'), ('Student', 'Mr. Mahmoud Dahmani', 'Qatar University'), ('Student', 'Mrs. Shaikha AL-Naimi', 'Qatar University'), ('Student', 'Miss Farah Hijjawi', 'Qatar University'), ('Student', 'Ms. Aldana Al-Obaidli', 'Qatar University'), ('Research Mentor', 'Dr. Muhammad Chowdhury', 'Qatar University'), ('Research Mentor', 'Prof. Prof. Mohieddine Benammar', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29115&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
30,UREP22-041-5-013,UREP,University of Calgary - Qatar,Award Pending - Vetted,,Mrs. Carnelle Symes,1 Year(s),,Resubmission of [UREP21-037-5-007],Using videos as a nursing math intervention,Math learning, Nursing, Nursing education, Teaching with learning technologies," Education, health",Basic research,"[('Primary Research Mentor', 'Mrs. Carnelle Symes', 'University of Calgary - Qatar'), ('Student', 'Ms. Sarah Fatah', 'University of Calgary - Qatar'), ('Student', 'Miss Daniah Moreno', 'University of Calgary - Qatar'), ('Student', 'Ms. Ma. Kimberly Navarro', 'University of Calgary - Qatar'), ('Student', 'Miss Esther Andrews', 'University of Calgary - Qatar'), ('Student', 'Mr. Khalid Hashim', 'University of Calgary - Qatar'), ('Student', 'Mr. Gasir Mohamed', 'University of Calgary - Qatar'), ('Research Mentor', 'Mrs. Claudia Haddad', 'College of the North Atlantic - Qatar'), ('Research Mentor', 'Mrs. Claudia Haddad', 'College of the North Atlantic - Qatar'), ('Research Mentor', 'Ms. Angela Waigand', 'University of Calgary - Qatar'), ('Research Mentor', 'Ms. Angela Waigand', 'University of Calgary - Qatar'), ('Research Mentor', 'Ms. Diana White', 'University of Calgary - Qatar'), ('Research Mentor', 'Dr. Sadia Munir', 'University of Calgary - Qatar')]","[('University of Calgary - Qatar', 'Qatar', 'Submitting Institution'), ('College of the North Atlantic - Qatar', 'Qatar', 'Collaborative Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29113&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
31,UREP22-025-2-010,UREP,Qatar University,Award Pending - Vetted,,Prof. Qutaibah Malluhi,1 Year(s),,New,Securing Biometrics Using Intel’s SGX Enclave Technology,Software Gaurd Extensions, Biometrics, Cyber security, Enclave, Authentication,Applied research,"[('Primary Research Mentor', 'Prof. Qutaibah Malluhi', 'Qatar University'), ('Student', 'Mrs. Aisha Al-Mohannadi', 'Qatar University'), ('Student', 'Miss Asma Al-Othani', 'Qatar University'), ('Student', 'Miss Mzna Al-Saaq', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29097&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
32,UREP22-024-1-002,UREP,Texas A&M University at Qatar,Award Pending - Vetted,,Dr. Mohammed Al-Hashimi,1 Year(s),,New,Investigating and addressing photodegradation of conjugated polymers for solar applications,Solar cells and energy, photovoltaic modules, conjugated polymers, thermal stability, photodegradation,Basic research,"[('Primary Research Mentor', 'Dr. Mohammed Al-Hashimi', 'Texas A&M University at Qatar'), ('Student', 'Miss Almaha Alsheeb', 'Texas A&M University at Qatar'), ('Student', 'Mr. Safeer Hafeez', 'Texas A&M University at Qatar'), ('Student', 'Mr. Taha Kubbar', 'Texas A&M University at Qatar'), ('Student', 'Miss Elizabeth Abraham', 'Texas A&M University at Qatar'), ('Student', 'Mr. Arshad Ali', 'Texas A&M University at Qatar'), ('Student', 'Mr. Mohammed Hassan', 'Texas A&M University at Qatar'), ('Research Mentor', 'Miss Almaha Alsheeb', 'Texas A&M University at Qatar'), ('Research Mentor', 'Dr. Konstantinos Kakosimos', 'Texas A&M University at Qatar'), ('Research Mentor', 'Dr. Khaled Elsaid', 'Texas A&M University at Qatar')]","[('Texas A&M University at Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29096&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
33,UREP22-010-2-005,UREP,Texas A&M University at Qatar,Award Pending - Vetted,,Dr. Albertus Retnanto,1 Year(s),,Resubmission of [UREP21-014-2-004],Investigation the Viability of Nanoparticles in Drilling Fluids as Additive for Fluid Loss and Wellbore Stability,Nanotechnology, Fluid loss, Wellbore stability, Additives, Drilling fluids,Applied research,"[('Primary Research Mentor', 'Dr. Albertus Retnanto', 'Texas A&M University at Qatar'), ('Student', 'Mr. Laith Abughaush', 'Texas A&M University at Qatar'), ('Student', 'Mr. Abdullah Shaat', 'Texas A&M University at Qatar'), ('Student', 'Miss Maha Al-Sulaiti', 'Texas A&M University at Qatar'), ('Student', 'Miss Najla Badar', 'Texas A&M University at Qatar'), ('Research Mentor', 'Mr. Rommel Yrac', 'Texas A&M University at Qatar')]","[('Texas A&M University at Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29081&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
34,UREP22-009-5-004,UREP,Qatar University,Award Pending - Vetted,,Dr. Kaltham Al Ghanim,1 Year(s),,New,"Tamim Al Majed Portrait and its Role in Shaping the Relationship Between the Political Leadership and the People (A historical, Social and Analytical Study)",بورترية, تميم المجد, القيادة السياسية, الشعب, الأزمة,Basic research,"[('Primary Research Mentor', 'Dr. Kaltham Al Ghanim', 'Qatar University'), ('Student', 'Ms. Haila Badi Brak', 'Qatar University'), ('Student', 'Ms. Dhabya Nasser Al-Hajri', 'Qatar University'), ('Student', 'Ms. kulood Al-Marri', 'Qatar University'), ('Student', 'Miss Kaltham Alhanaei', 'Qatar University'), ('Student', 'Ms. Zainab Al-Abdulla', 'Qatar University'), ('Student', 'Mrs. Kholoud Almohammed', 'Qatar University'), ('Research Mentor', 'Dr. Sherine Al-Menshawy', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=29079&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
