Proposal Number:,type,pub_title,authors,reference_no
UREP23-027-2-012,,,,
UREP23-026-2-011,,,,
UREP23-006-5-001,,,,
UREP22-180-5-048,,,,
UREP22-145-1-022,,,,
UREP23-012-2-002,,,,
UREP22-176-3-034,,,,
UREP22-160-5-043,,,,
UREP22-155-3-029,,,,
UREP22-148-1-024,,,,
UREP22-143-3-024,,,,
UREP22-140-3-023,,,,
UREP22-128-5-033,,,,
UREP22-120-5-030,,,,
UREP22-118-1-018,,,,
UREP22-110-4-003,,,,
UREP22-109-1-016,,,,
UREP22-098-5-023,,,,
UREP22-090-2-037,,,,
UREP22-087-1-012,,,,
UREP22-076-1-011,,,,
UREP22-063-2-023,,,,
UREP22-067-5-021,,,,
UREP22-043-2-015,,,,
UREP22-041-5-013,,,,
UREP22-062-2-022,,,,
UREP22-059-1-010,,,,
UREP22-045-2-016,,,,
UREP22-025-2-010,,,,
UREP22-024-1-002,,,,
UREP22-010-2-005,,,,
UREP22-009-5-004,,,,
UREP22-008-2-004,,,,
UREP21-144-2-056,,,,
UREP22-007-2-003,,,,
UREP22-006-2-002,,,,
UREP22-005-5-003,,,,
UREP22-003-2-001,,,,
UREP21-118-1-021,,,,
UREP21-131-3-024,,,,
UREP21-120-5-016,,,,
UREP21-141-3-032,,,,
UREP21-136-2-055,,,,
UREP21-119-2-050,,,,
UREP21-105-3-018,,,,
UREP21-117-5-015,,,,
UREP21-108-2-047,,,,
UREP21-099-6-009,,,,
UREP21-098-2-044,,,,
UREP21-103-5-011,,,,
UREP21-101-2-045,,,,
UREP21-095-5-009,,,,
UREP21-092-6-008,,,,
UREP21-089-2-039,,,,
UREP21-080-1-015,,,,
UREP21-067-3-014,,,,
UREP21-062-2-022,,,,
UREP21-060-1-012,,,,
UREP21-059-1-011,,,,
UREP21-056-2-021,,,,
UREP21-050-3-010,,,,
UREP21-047-1-009,,,,
UREP21-043-6-004,,,,
UREP21-036-5-006,,,,
UREP21-035-2-013,,,,
UREP21-033-2-011,,,,
UREP21-028-1-006,,,,
UREP21-019-5-001,,,,
UREP21-011-3-005,,,,
UREP20-153-5-036,,,,
UREP20-152-2-041,,,,
UREP20-145-2-039,Conference Paper,Comprehensive Assessment of Resin Systems as a Combined Solution for Well Integrity Challenge and Unwanted Fluid Shutoff in Carbonate Reservoirs,"Albertus Retnanto, Nicola Cardena, Ali Al-Abssi, Sara Al-Jamani",DOI:10.5339/qfarc.2018.EEPD1096
UREP20-141-1-030,,,,
UREP20-132-1-023,,,,
UREP20-123-2-032,Conference Paper,Adiabatic Air-Water Flow Visualization and Pressure Drop in Wavy Mini- Channels,"A. Hendy, A. Almomani, D. Rahman, Y. Al-Hamidi, M.A. Rahman, I. Hassan",DOI:10.0000/000000-0001
UREP20-123-2-032,Conference Paper,Two-Phase Flow Visualization for a Hybrid Heat Sink,"Danish Rahman,   Ahmad AlMomani, Ibrahim Hassan,   
Aziz Rahman,  Yasser Al Hamidi",DOI:10.0000/00000-0002
UREP20-121-5-027,,,,
UREP20-119-1-021,Journal Paper,Eggshell membrane as a novel bio sorbent for remediation of boron from desalinated water,"Mohammad A. Al-Ghouti, Mariam Khan",ISSN:03014797
UREP20-118-5-025,,,,
UREP20-116-1-020,,,,
UREP20-103-1-018,,,,
UREP20-101-2-029,Conference Paper,A simple resonant frequency tracking technique for LLC resonant converters,Iresha Poonahela ;  Sertac Bayhan ;  Haitham Abu-Rub,DOI:10.1109/ICRERA.2017.8191282
UREP20-100-5-015,,,,
UREP20-093-3-028,Conference Paper,Expression Profiling of Micro RNAs (MiRNAs) and Long Non-Coding RNAs (lncRNAs) in Chronic Myeloid Leukemia (CML) Patients in the State of Qatar,"Nader I. Al-Dewik, Salsabel Elshami, Nada Nasser, Mohammed Alsharshani, Mohammed Araby, Mohamed A. Yassin and Pejman H. Moghaddam",DOI:10.1182/asheducation-2017.1
UREP20-093-3-028,Conference Paper,Expression Profiling of Micro RNAs (MiRNAs) and Long Non- Coding RNAs (lncRNAs) in Chronic Myeloid Leukemia (CML) Patients in the State of Qatar,"Nader I. Al-Dewik, Salsabel Elshami, Nada Nasser, Mohammed Alsharshani, Mohammed Araby,
Mohamed A. Yassin, and Pejman H. Moghaddam",DOI:https://doi.org/130/Suppl_1/5243
UREP20-088-3-026,,,,
UREP20-081-6-008,,,,
UREP20-079-3-023,Book,"Mosquitoes: species, Distribution and diseases",Mahmoud M. Kardousha,ISBN:1111111111111
UREP20-070-1-015,,,,
UREP20-069-2-017,,,,
UREP20-065-2-013,,,,
UREP20-063-1-014,,,,
UREP20-051-3-012,Journal Paper,A Potential Link Between Oxidative Stress and Endothelial-to-Mesenchymal Transition in Systemic Sclerosis,"Duong Thi-Bich Thuan,
Hatem Zayed,
Ali Hussein Eid,
Haissam Abou-Saleh,
Gheyath K Nasrallah,
Arduino A Mangoni and
Gianfranco Pintus",ISSN:16643224
UREP20-048-3-010,,,,
UREP20-046-1-013,,,,
UREP20-043-2-010,,,,
UREP20-041-5-008,,,,
UREP20-038-3-008,,,,
UREP20-032-2-008,,,,
UREP20-028-1-011,,,,
UREP20-020-3-003,,,,
UREP20-019-1-006,Conference Paper,Faheem: A Tablet-Based Application to Improve Receptive Language for Arab Autistic Children,"Saleh Alhazbi-author-first, Amr Aboeleneen-author-additional, Naheel Kamal-author-additional, Mohammad Khader-author-additional, Adel Azzouza-author-additional, Ayman Al-Kababji-author-additional, Abdulahi Hassen-author-additional, Ahmad Zaza-author-additional",DOI:10.1109/COMAPP.2018.8460413
UREP20-007-6-002,,,,
UREP20-006-2-002,,,,
UREP19-230-1-044,,,,
UREP19-229-5-050,,,,
UREP19-220-2-069,,,,
UREP19-218-5-046,,,,
UREP19-215-5-044,Online Paper,Self-Other Perceptions: 'Worlding' in the World Cup,Rwoda Al-Naimi and Najla Al-Naimi,DOI:10.10/Notapplicable
UREP19-209-1-037,Journal Paper,"Efficient plant regeneration of Glossonema edule,acritically endangered desert plant","Sara H.Al Hadidi, Raham Sher Khan, Asmaa al-Qaradawi, Mohammed H. Alsafran and Talaat A. Ahmed",ISSN:24371858
UREP19-195-3-041,,,,
UREP19-189-3-037,,,,
UREP19-181-5-041,Journal Paper,Light Rail Transit (LRT) and Transit Villages in Qatar: A Planning-Strategy to Revitalize the Built Environment of Doha,"Furlan, R.
Sipe, N.",ISSN:17529638
UREP19-181-5-041,Journal Paper,Light Rail Transit (LRT) and Transit Villages in Qatar: A Planning-Strategy to Revitalize the Built Environment of Doha,"R. Furlan
N. Sipe",ISSN:17529638
UREP19-181-5-041,Journal Paper,Urban Regeneration in Qatar: A Comprehensive Planning Strategy for the Transport Oriented Development (TOD) of Al-Waab,"Furlan, R., Alattar D.",ISSN:17529638
UREP19-181-5-041,Journal Paper,Sense of Community in Al-Wakrah City: Strategies for the Development of Sustainable Communities in Qatar,"Furlan, R., Alfaraidy, M.",ISSN:24156272
UREP19-181-5-041,Journal Paper,"A Comprehensive Strategy for the Development of the Transit Village of Al Saad, the New Urban Hub of Doha","Furlan, R., Zaina, S., Zaina, S.",ISSN:07293682
UREP19-181-5-041,Journal Paper,Socio-Cultural Factors embedded into the Urban Fabric of Al Zubarah City in Qatar: An Urban Regeneration Vision for Contemporaneous Islamic Urbanism,"Furlan, R., Al-Harami, A.",ISSN:17529638
UREP19-181-5-041,Journal Paper,Urban Street and Social Interactions in Third Places: The Case of Al Wakrah Old Souq in Qatar,"Furlan, R., Kutty, N.",ISSN:17529638
UREP19-181-5-041,Journal Paper,Socio-Cultural Factors embedded into the Urban Fabric of Al Zubarah City in Qatar,"Furlan, R., Al-Harami, A.",ISSN:17529638
UREP19-181-5-041,Journal Paper,Post 2022 FIFA World Cup,"Furlan, R., ElGahani, H.",ISSN:17529638
UREP19-181-5-041,Journal Paper,Socio-Cultural Patterns in Domestic Spatial Form: A Comparative Study of Traditional and Modern Qatari Houses,"Furlan, R., AL-Mohannadi, A",ISSN:17529638
UREP19-181-5-041,Journal Paper,Post 2022 FIFA World Cup in the State Qatar: Urban Regeneration Strategies for Doha,Raffaello Furlan,ISSN:17529638
UREP19-171-1-031,,,,
UREP19-155-5-030,,,,
UREP19-152-1-026,,,,
UREP19-149-1-025,,,,
