_id,Proposal Number:,Program Cycle:,Submitting Institution Name:,Project Status:,Start Date:,Lead Investigator:,Project Duration:,End Date:,SubmissionType:,Proposal Title:,Research Keyword 1,Research Keyword 2,Research Keyword 3,Research Keyword 4,Research Keyword 5,Research Type:,Personnel,Institution,URL
0,YSREP 2 - 011 - 2 - 002,YSREP,Texas A&M University at Qatar,Award Tech. Completed,15 Feb 2012,Dr. Mohammad Shaqfeh,2 Year(s),30 Jul 2014,New,Relaying Technologies for Next Generation Mobile Broadband Communication Systems,Next Generation Mobile Broadband Systems, Relay-Assisted Communication, Resource Allocation Algorithms, LTE-Advanced, Performance Analysis,Applied research,"[('PI', 'Dr. Mohammad Shaqfeh', 'Texas A&amp;M University at Qatar')]","[('Texas A&amp;M University at Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=4890&s=Y&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
1,UREP23-146-5-034,UREP,Qatar University,Award Pending,,Dr. Mohamed Osman,1 Year(s),,Resubmission of [UREP22-142-5-042],Effectiveness of Augmented reality applications for developing some of basic skills among preschool children with autism spectrum disorder in Qatar,autism spectrum disorder, augmented virtual reality, basic skills, preschool children, qatar,Experimental Development,"[('Primary Research Mentor', 'Dr. Mohamed Osman', 'Qatar University'), ('Student', 'Mrs. maiada alnamroti', 'Qatar University'), ('Student', 'Mrs. garfh alhader', 'Qatar University'), ('Student', 'Miss fatima alsulaiti', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=31828&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
2,YSREP 1 - 019 - 2 - 008,YSREP,Carnegie Mellon University - Qatar,Award Terminated,01 Oct 2012,Dr. Peter Hansen,3 Year(s),01 Oct 2015,New,Visual SLAM using an Array of Cameras,Localization and Mapping, SLAM, Stereo Vision, Omnidirection (Spherical) Vision, Mobile Robots,Applied research,"[('PI', 'Dr. Peter Hansen', 'Carnegie Mellon University - Qatar')]","[('Carnegie Mellon University - Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2697&s=Y&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
3,YSREP 1 - 017 - 1 - 003,YSREP,Qatar University,Award Tech. Completed,01 Apr 2012,Dr. Dana Alabdulmalik,2 Year(s),20 Oct 2014,New,Modification and Automation of a Positron Annihilation Combined System for Studying Temperature-Dependent Microscopic Changes in Polymers,positron annihilation, Doppler broadening, material science, polymers, microscopic structures,Applied research,"[('PI', 'Dr. Dana Alabdulmalik', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2695&s=Y&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
4,YSREP 1 - 018 - 1 - 004,YSREP,Carnegie Mellon University - Qatar,Award Tech. Completed,01 Apr 2012,Dr. Behrang Mohit,3 Year(s),04 Jul 2015,New,Expanding Arabic Wikipedia by Statisitcal Machine Translation,Human Language Technology, Natural Language Processing, Machine Translation, Wikipedia, Confidence Estimation,Applied research,"[('PI', 'Dr. Behrang Mohit', 'Carnegie Mellon University - Qatar')]","[('Carnegie Mellon University - Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2696&s=Y&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
5,YSREP 1 - 009 - 3 - 003,YSREP,Weill Cornell Medical College in Qatar,Award Tech. Completed,01 Sep 2012,Dr. Rym SKANJI,1 Year(s),18 Dec 2013,New,Novel Fluorescence-quenching Lipid Probes for Intracellular Lipoplex Tracking,fluorescence-quenching, probes, intracellular, trafficking, non-viral vectors,Applied research,"[('PI', 'Dr. Rachel Jones', 'Weill Cornell Medical College in Qatar'), ('PI', 'Dr. Rym SKANJI', 'Qatar University')]","[('Weill Cornell Medical College in Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2687&s=Y&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
6,YSREP 1 - 002 - 5 - 001,YSREP,Qatar University,Award Tech. Completed,01 Apr 2012,Dr. Syed  Raza,2 Year(s),10 Dec 2014,New,Econometric Models for Revenue Management facing customers' cannibalization,Pricing, Customer behavior, Econometric models, Retail industry, Revenue management,Applied research,"[('PI', 'Dr. Syed  Raza', 'Qatar University'), ('Research Assistant', 'Dr. Najam Saqib', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2680&s=Y&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
7,YSREP 1 - 033 - 1 - 006,YSREP,Carnegie Mellon University - Qatar,Award Tech. Completed,01 Apr 2012,Dr. Thierry Sans,3 Year(s),31 Mar 2015,New,A type-safe programming language to build safe and secure web applications,Language based security, Type Theory, Information Flow, Programming Language for the Web, Cloud Computing,Basic research,"[('PI', 'Dr. Thierry Sans', 'Carnegie Mellon University - Qatar')]","[('Carnegie Mellon University - Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=2711&s=Y&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
8,UREP23-148-5-036,UREP,Georgetown University School of Foreign Service in Qatar,Award Pending,,Dr. Jack Rossbach,1 Year(s),,Resubmission of [UREP22-013-5-006],Investigating the Resilience of Qatar’s Trade Network,Trade, Qatar, Risk analysis, Network analysis, GCC Crisis,Basic research,"[('Primary Research Mentor', 'Dr. Jack Rossbach', 'Georgetown University School of Foreign Service in Qatar'), ('Student', 'Ms. Alisha Kamran', 'Georgetown University School of Foreign Service in Qatar'), ('Student', 'Miss Halak Sheth', 'Georgetown University School of Foreign Service in Qatar')]","[('Georgetown University School of Foreign Service in Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=31830&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
9,UREP23-135-2-046,UREP,Qatar University,Award Pending,,Dr. Jolly Bhadra,1 Year(s),,New,Piezoelectric nanogenerators based on PVDF/metal oxide nanocomposites for self-powering devices,Piezoelectric, Energy harvesting, Renewable enegry, Nanocomposite, Electrospinning,Applied research,"[('Primary Research Mentor', 'Dr. Jolly Bhadra', 'Qatar University'), ('Student', 'Ms. Radwa mohamed', 'Qatar University'), ('Student', 'Miss Amal Daifallah', 'Qatar University'), ('Student', 'Miss ghidaa abdullah', 'Qatar University'), ('Student', 'Miss Noura AlSanari', 'Qatar University'), ('Research Mentor', 'Dr. Noora AL-Thani', 'Qatar University'), ('Research Mentor', 'Ms. Asma Al-kareem', 'Qatar University'), ('Research Mentor', 'Dr. Deepalekshmi Ponnamma', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=31816&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
10,UREP23-133-1-028,UREP,Qatar University,Award Pending,,Prof. Yousef Hijji,1 Year(s),,New,Synthesis and biological evaluation of imidazopyridine as anticancer agent تحضير وتقيم مركبات ايميدازوبيريدين كمواد مضادة للسرطان,Nicrowaves, Imidazopyridine, Anticancer drugs, Training, biological activity,Applied research,"[('Primary Research Mentor', 'Prof. Yousef Hijji', 'Qatar University'), ('Student', 'Mr. Abdelrahman Mahmoud', 'Qatar University'), ('Student', 'Mr. Mahmoud Abdelrasool', 'Qatar University'), ('Student', 'Miss Nouha Abdelaziz', 'Qatar University'), ('Student', 'Miss Ghofrane  Souli', 'Qatar University'), ('Student', ""Mr. Rakan Al-Zu'Bi"", 'Qatar University'), ('Student', 'Mr. Ali Al-sada', 'Qatar University'), ('Research Mentor', 'Prof. HANI TABBA', 'Qatar University'), ('Research Mentor', 'Dr. Said Sif', 'Qatar University'), ('Research Mentor', 'Dr. Saeed Almeer', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=31814&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
11,UREP23-131-2-044,UREP,Texas A&M University at Qatar,Award Pending,,Dr. Mohammad Rahman,1 Year(s),,Resubmission of [UREP22-125-2-050],Effects of Salinity on Solid Particle Settling Velocity in Non-Newtonian Herschel–Bulkley Fluids,Non-Newtonian rheology, Salinity, Settling Velocity, Herschel–Bulkley model, visualization,Applied research,"[('Primary Research Mentor', 'Dr. Mohammad Rahman', 'Texas A&amp;M University at Qatar'), ('Student', 'Mr. Anurag Srivastava', 'Texas A&amp;M University at Qatar'), ('Student', 'Mr. Hassan Haider', 'Texas A&amp;M University at Qatar'), ('Student', 'Mr. Robert Moukhametov', 'Texas A&amp;M University at Qatar'), ('Student', 'Miss Jerahmeel Bautista', 'Texas A&amp;M University at Qatar'), ('Research Mentor', 'Mr. Ibrahim Almaghrabi', 'Texas A&amp;M University at Qatar'), ('Research Mentor', 'Prof. Ibrahim Hassan', 'Texas A&amp;M University at Qatar')]","[('Texas A&amp;M University at Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=31812&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
12,UREP23-129-3-029,UREP,Qatar University,Award Pending,,Dr. Sowndramalingam Sankaralingam,1 Year(s),,New,Resveratrol and Hesperetin Co-treatment As A Strategy to Prevent Methylglyoxal-Induced Endothelial Dysfunction: Implications for Diabetic Vascular Disease,Diabetes, Methylglyoxal, Insulin resistance, Endothelial function, Resveratrol,Basic research,"[('Primary Research Mentor', 'Dr. Sowndramalingam Sankaralingam', 'Qatar University'), ('Industry Research Mentor', 'Dr. Manjunath Ramanjaneya', 'Hamad Medical Corporation'), ('Student', 'Miss Marwa Hamed', 'Qatar University'), ('Student', 'Ms. Zeena Almansouri', 'Qatar University'), ('Student', 'Miss Lolwa Al-ghazal', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution'), ('Hamad Medical Corporation', 'Qatar', 'Collaborative Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=31809&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
13,UREP23-127-3-027,UREP,Qatar University,Award Pending,,Dr. Asad Zeidan,1 Year(s),,New,Leptin/adiponectin ratio as novel early stage biomarker in Hypertension,Cardiovascular disease, Obesity, Hypertension & CVD, Leptin, Biomarkers,Applied research,"[('Primary Research Mentor', 'Dr. Asad Zeidan', 'Qatar University'), ('Student', 'Mr. Anas Ashour', 'Qatar University'), ('Student', 'Mr. Khaled Sadek', 'Qatar University'), ('Student', 'Mr. Mahmoud Haik', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=31807&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
14,UREP23-126-5-028,UREP,Qatar University,Award Pending,,Prof. Abdrabo Soliman,1 Year(s),,New,Investigating attentional biases for food stimuli in obese and normal weight individuals: implications for treatment,Obesity, attentional biases, behavioral treatment, Attention, human cognition,Basic research,"[('Primary Research Mentor', 'Prof. Abdrabo Soliman', 'Qatar University'), ('Industry Research Mentor', 'Dr. Ahmed Moustafa', 'University of Western Sydney'), ('Student', 'Miss Wadiha Almirri', 'Qatar University'), ('Student', 'Ms. Manar Aldosari', 'Qatar University'), ('Student', 'Mrs. khadija  abousita', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution'), ('University of Western Sydney', 'Australia', 'Collaborative Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=31806&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
15,UREP23-117-3-025,UREP,Weill Cornell Medical College in Qatar,Award Pending,,Prof. Stephen Atkin,1 Year(s),,Resubmission of [UREP22-019-3-003],Is the severity of acne and hirsutism familial in polycystic ovary syndrome: impact on quality of life,Polycystic Ovary Syndrome, Life style and disease, Acne and rosacea, hirsutism, Quality of life,Applied research,"[('Primary Research Mentor', 'Prof. Stephen Atkin', 'Weill Cornell Medical College in Qatar'), ('Student', 'Ms. Noora AlHail', 'Weill Cornell Medical College in Qatar'), ('Student', 'Ms. Priyamvada Pillai', 'Weill Cornell Medical College in Qatar'), ('Student', 'Ms. Huda Alalami', 'Weill Cornell Medical College in Qatar'), ('Student', 'Miss Sabiha Khan', 'Weill Cornell Medical College in Qatar'), ('Research Mentor', 'Prof. Steven Hunt', 'Weill Cornell Medical College in Qatar')]","[('Weill Cornell Medical College in Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=31796&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
16,UREP23-113-2-040,UREP,Qatar University,Award Pending,,Dr. WAEL ALNAHHAL,1 Year(s),,Resubmission of [UREP22-095-2-040],Utilization of recycled materials and industrial by-products as alternative construction materials at Qatar.,Recycled materials, By-products, Concrete, Aggregates, Sustainability and green construction,Applied research,"[('Primary Research Mentor', 'Dr. WAEL ALNAHHAL', 'Qatar University'), ('Student', 'Mr. Mostafa Hussein', 'Qatar University'), ('Student', 'Mr. Adeeb Nimry', 'Qatar University'), ('Student', 'Mr. Bashar Qasho Qasho', 'Qatar University'), ('Student', 'Mr. mhd nezar shoura', 'Qatar University'), ('Student', 'Mr. Abdulkarim Sabsabi', 'Qatar University'), ('Student', 'Mr. Houssam Alijla', 'Qatar University'), ('Research Mentor', 'Mr. Alaa Taha', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=31792&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
17,UREP23-116-2-041,UREP,Qatar University,Award Pending,,Dr. Kishor Sadasivuni,1 Year(s),,New,Highly selective e-nose as VOC biomarkers in breath based on sulfonated poly(ether ether ketone) [SPEEK]/2D metal carbide MXenes nanocomposites,Sensor, Electrospinning, Polymer nanocomposite, Biomarker, Electronic e-nose,Applied research,"[('Primary Research Mentor', 'Dr. Kishor Sadasivuni', 'Qatar University'), ('Student', 'Mr. Ali Abdulla', 'Qatar University'), ('Student', 'Mr. Abdelrahman Zourob', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=31795&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
18,UREP23-114-5-021,UREP,Qatar University,Award Pending,,Dr. Eid AboHamza,1 Year(s),,Resubmission of [UREP22-137-5-041],The Relation between Attachment Security and Marital Support Mediated by the Mutual Support,Family / family functioning, Dyadic Support, Attachment Security, Marital Satisfaction, support perceptions,Applied research,"[('Primary Research Mentor', 'Dr. Eid AboHamza', 'Qatar University'), ('Student', 'Miss amal  al-shamari', 'Qatar University'), ('Student', 'Mrs. Aysha Al-khater', 'Qatar University'), ('Student', 'Ms. Moza Mohamed Alkuwari', 'Qatar University'), ('Research Mentor', 'Mr. Yousif Mahdi', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=31793&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
19,UREP23-108-6-003,UREP,Virginia Commonwealth University in Qatar (VCUQatar),Award Pending,,Mrs. Maryam Al-Homaid,1 Year(s),,New,Rapid Prototyping through the use of wireframe printing,Prototyping, Maker Movement, Technology, 3D Printing, Fabrication process,Applied research,"[('Primary Research Mentor', 'Mrs. Maryam Al-Homaid', 'Virginia Commonwealth University in Qatar (VCUQatar)'), ('Student', 'Ms. Aaqifa Altaf', 'Virginia Commonwealth University in Qatar (VCUQatar)')]","[('Virginia Commonwealth University in Qatar (VCUQatar)', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=31786&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
20,UREP23-097-1-026,UREP,Qatar University,Award Pending,,Dr. Md Rahman,1 Year(s),,Resubmission of [UREP22-138-1-020],"Effect of omega-3 fatty acids on thiazolidinedione-mediated modulation of osteoclastogenesis, osteoblastogenesis and adipogenesis",Diabetes, Thiazolidinedione, omega-3, Docosahexaenoic acid (DHA), Osteoporosis,Basic research,"[('Primary Research Mentor', 'Dr. Md Rahman', 'Qatar University'), ('Student', 'Miss Maryam Hassiba', 'Qatar University'), ('Student', 'Miss Lugain  Ahmed', 'Qatar University'), ('Student', 'Ms. bayan albarghouthi', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=31771&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
21,UREP23-082-2-032,UREP,Texas A&M University at Qatar,Award Pending,,Dr. Mahmood Amani,1 Year(s),,New,Study on the Influence of nanoparticles in the filtrate characteristics and filtrate cake formation of a water based drilling fluid,Nanoparticles, Drilling fluids, Water-based Mud, filtrate, Drilling engineering,Applied research,"[('Primary Research Mentor', 'Dr. Mahmood Amani', 'Texas A&amp;M University at Qatar'), ('Student', 'Mr. Laith Abughaush', 'Texas A&amp;M University at Qatar'), ('Student', 'Miss AlReem Al-Dosari', 'Texas A&amp;M University at Qatar'), ('Student', 'Miss Maha Al-Sulaiti', 'Texas A&amp;M University at Qatar'), ('Student', 'Miss Najla Badar', 'Texas A&amp;M University at Qatar'), ('Student', 'Miss Jawahir Al-tamimi', 'Texas A&amp;M University at Qatar'), ('Student', 'Miss Sara Al-Marzouqi', 'Texas A&amp;M University at Qatar'), ('Research Mentor', 'Dr. Anoop Baby', 'Texas A&amp;M University at Qatar')]","[('Texas A&amp;M University at Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=31754&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
22,UREP23-104-2-036,UREP,Texas A&M University at Qatar,Award Pending - Vetted,,Dr. Konstantinos Kakosimos,1 Year(s),,Resubmission of [UREP22-017-2-009],"Solar spectrum characterization, impact on human health and mitigation using innovative materials",solar spectrum, Solar Radiation, Conjugated Polymers, Solar energy materials, Public health,Applied research,"[('Primary Research Mentor', 'Dr. Konstantinos Kakosimos', 'Texas A&amp;M University at Qatar'), ('Industry Research Mentor', 'Dr. Eleni Fthenou', 'Qatar Biobank for Medical Research'), ('Student', 'Ms. Shaikha Aljaber', 'Texas A&amp;M University at Qatar'), ('Student', 'Ms. Dima Abu Alhawa', 'Texas A&amp;M University at Qatar'), ('Student', 'Miss laya Roustazadeh', 'Texas A&amp;M University at Qatar'), ('Student', 'Miss Fatima Al-Khal', 'Texas A&amp;M University at Qatar'), ('Student', 'Miss Amani Grati', 'Texas A&amp;M University at Qatar'), ('Student', 'Miss Asma Abousrafa', 'Texas A&amp;M University at Qatar'), ('Research Mentor', 'Dr. Mohammed Al-Hashimi', 'Texas A&amp;M University at Qatar')]","[('Texas A&amp;M University at Qatar', 'Qatar', 'Submitting Institution'), ('Qatar Biobank for Medical Research', 'Qatar', 'Collaborative Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=31780&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
23,UREP23-079-3-016,UREP,Qatar University,Award Pending,,Prof. F. Anthony Lai,1 Year(s),,New,Molecular analysis of human CSQ2 mutations associated with arrhythmogenic cardiac disease,Cardiac and cardiovascular system, Cardiac genetics, Heart disease, Biomedical Applications, Molecular and Cellular Biology,Basic research,"[('Primary Research Mentor', 'Prof. F. Anthony Lai', 'Qatar University'), ('Student', 'Miss Alreem Alqahtani', 'Qatar University'), ('Student', 'Mr. Ali AL-Maraghi', 'Qatar University'), ('Student', 'Miss Maha Alajmi', 'Qatar University'), ('Student', 'Ms. Jawaher Al-Rubaiei', 'Qatar University'), ('Student', 'Ms. Ameera Almarkhi', 'Qatar University'), ('Student', 'Miss Zamzam Almuhannadi', 'Qatar University'), ('Research Mentor', 'Dr. MICHAIL NOMIKOS', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=31751&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
24,UREP23-065-1-014,UREP,Hamad Bin Khalifa University,Award Pending,,Dr. Savio Sciancalepore,1 Year(s),,New,CuT-OFF SDR: A Cross-TechnOlogies Framework for Fingerprinting SDR,Wireless & satellite communicatioins, Software defined radio, Wireless Radio Fingerprinting, Framework, Cross technology,Applied research,"[('Primary Research Mentor', 'Dr. Savio Sciancalepore', 'Hamad Bin Khalifa University'), ('Student', 'Mr. Shaheer Bakali', 'Hamad Bin Khalifa University'), ('Student', 'Ms. Johanne Gren Medina', 'Hamad Bin Khalifa University'), ('Research Mentor', 'Prof. Roberto Di Pietro', 'Hamad Bin Khalifa University')]","[('Hamad Bin Khalifa University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=31735&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
25,UREP23-101-5-016,UREP,Georgetown University School of Foreign Service in Qatar,Award Pending - Submitted,,Prof. Jeremy  Koons,1 Year(s),,New,Facial recognition in Qatari Nationals: Challenging WEIRD results and exploring effects of virtual face exposure,Cross-race effects, facial recognition, virtual face  exposure, stimuli, cognitive psychology,Basic research,"[('Primary Research Mentor', 'Prof. Jeremy  Koons', 'Georgetown University School of Foreign Service in Qatar'), ('Student', 'Ms. Noor Sheikh', 'Georgetown University School of Foreign Service in Qatar'), ('Research Mentor', 'Prof. Jennifer Bruder', 'Carnegie Mellon University - Qatar')]","[('Georgetown University School of Foreign Service in Qatar', 'Qatar', 'Submitting Institution'), ('Carnegie Mellon University - Qatar', 'Qatar', 'Collaborative Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=31776&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
26,UREP23-062-3-014,UREP,Qatar University,Award Pending,,Dr. Muhammad Umar Sohail,1 Year(s),,New,Metagenomic analyses of oral microbiome of obese hyperglycemic subjects,Obesity, Diabetes, Microbiome, Saliva, Physical activity & exercise,Basic research,"[('Primary Research Mentor', 'Dr. Muhammad Umar Sohail', 'Qatar University'), ('Student', 'Mr. Omar Tahir Jamil', 'Qatar University'), ('Student', 'Miss Jawaher Alasmar', 'Qatar University'), ('Student', 'Miss Asmaa Al Baniali', 'Qatar University'), ('Student', 'Ms. wedad Al-asmar', 'Qatar University'), ('Student', 'Ms. Meram Ibrahim', 'Qatar University'), ('Student', 'Miss Banan Shoair', 'Qatar University'), ('Research Mentor', 'Dr. Maha Al-Asmakh', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=31732&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
27,UREP23-057-1-011,UREP,Qatar University,Award Pending,,Dr. Radhouan Ben-Hamadou,1 Year(s),,New,Investigating coral health and disease on the reefs of Qatar,Coral reefs, Disease ecology, Histology, Reproductive biology, Arabian gulf,Basic research,"[('Primary Research Mentor', 'Dr. Radhouan Ben-Hamadou', 'Qatar University'), ('Industry Research Mentor', 'Dr. Aysha Bakhamis', 'Anti-Doping Laboratory Qatar'), ('Student', 'Miss Mariam Mahmood', 'Qatar University'), ('Student', 'Miss Sarah Merabet', 'Qatar University'), ('Student', 'Miss Razan  Khalifa', 'Qatar University'), ('Student', 'Miss Khulood Sarhan', 'Qatar University'), ('Student', 'Miss Raghad Amro', 'Qatar University'), ('Student', 'Miss Rand Mraiza', 'Qatar University'), ('Research Mentor', 'Dr. fahad aljamali', 'Qatar University')]","[('Qatar University', 'Qatar', 'Submitting Institution'), ('Anti-Doping Laboratory Qatar', 'Qatar', 'Collaborative Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=31727&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
28,UREP23-056-2-028,UREP,Texas A&M University at Qatar,Award Pending - Vetted,,Dr. Ahmed Abdala,1 Year(s),,New,Graphene Oxide Membrane with Engineered Interlayer Spacing,water treatment, membranes, Graphene oxide, oil removal, multivalent ions,Applied research,"[('Primary Research Mentor', 'Dr. Ahmed Abdala', 'Texas A&amp;M University at Qatar'), ('Student', 'Mr. Rashid Al-heidous', 'Texas A&amp;M University at Qatar'), ('Student', 'Mr. Ali Al Ansari', 'Texas A&amp;M University at Qatar'), ('Student', 'Miss Isha Abbasi', 'Texas A&amp;M University at Qatar'), ('Student', 'Miss Fatima Al-Khal', 'Texas A&amp;M University at Qatar'), ('Student', 'Ms. Sara Amani', 'Texas A&amp;M University at Qatar'), ('Student', 'Mr. Mahmoud Dagig', 'Texas A&amp;M University at Qatar'), ('Research Mentor', 'Dr. Zafar Ghouri', 'Qatar University'), ('Research Mentor', 'Dr. Khaled Elsaid', 'Texas A&amp;M University at Qatar')]","[('Texas A&amp;M University at Qatar', 'Qatar', 'Submitting Institution'), ('Qatar University', 'Qatar', 'Collaborative Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=31726&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
29,UREP23-048-2-023,UREP,Texas A&M University at Qatar,Award Pending - Submitted,,Dr. Bing Guo,1 Year(s),,New,Development of an Advanced Shock Tube Charging System for Studying Combustion Properties of Liquid GTL Fuels,shock tube, combustion kinetics, liquid fuels, aerosol, droplets,Applied research,"[('Primary Research Mentor', 'Dr. Bing Guo', 'Texas A&amp;M University at Qatar'), ('Student', 'Ms. Monya Al-Muhannadi', 'Texas A&amp;M University at Qatar'), ('Student', 'Ms. Maryam Al-Buainain', 'Texas A&amp;M University at Qatar')]","[('Texas A&amp;M University at Qatar', 'Qatar', 'Submitting Institution')]",https://pub.qgrants.org/Awards/ProjectDetails?p=31717&s=U&prm2=0&prm4=0&prm5=0&prm6=0&prm9=0&prm12=0&prm13=0&prm14=0
